std,ref,cat,en,sl,def_sl,notes,see_also
22989,3.1.1,3.1 AI,AI agent,agent UI,"Avtomatizirana entiteta, ki zaznava svoje okolje, se nanj odziva in izvaja dejanja za doseganje svojih ciljev.","Agent ≠ model. Agent je sistem, ki ima dostop do orodij (e-pošta, internet, datoteke) in lahko samostojno izvaja akcije. Model sam po sebi ne more ničesar — potrebuje sistem, ki ga poganja.",22989:3.1.4
22989,3.1.2,3.1 AI,AI component,komponenta UI,"Funkcionalni element, ki gradi sistem UI.",,22989:3.1.4
22989,3.1.3,3.1 AI,artificial intelligence,umetna inteligenca,"Raziskave in razvoj mehanizmov ter aplikacij sistemov UI.",,
22989,3.1.4,3.1 AI,AI system,sistem UI,"Inženirski sistem, ki ustvarja rezultate kot so vsebine, napovedi, priporočila ali odločitve za določen nabor človekovo opredeljenih ciljev.","Sistem UI = celoten sklop: model + inferenčni pogon + API-ji + varnostne plasti + beleženje. To je tisto, kar ureja ISO 42001.",22989:3.1.1|22989:3.1.2
22989,3.1.7,3.1 AI,automation,avtomatizacija,"Nanaša se na proces ali sistem, ki pod določenimi pogoji deluje brez človeškega posredovanja.",,
22989,3.2.1,3.2 Data,data,podatki,"Ponovno interpretabilna predstavitev informacij v formalizirani obliki, primerni za komunikacijo, interpretacijo ali obdelavo.",,
22989,3.3.1,3.3 ML,model,model,"Matematični konstrukt, ki na podlagi vhodnih podatkov generira izhod na osnovi naučenih parametrov.","Model je datoteka (ali skupina datotek) — uteži, arhitektura, tokenizer. Sam po sebi ne 'dela' ničesar. Potrebujemo programsko opremo za uporabo modela.",22989:3.3.2
22989,3.5.1,3.5 Trust,trustworthiness,zaupanja vrednost,"Sposobnost izpolnjevanja pričakovanj deležnikov na preverljiv način.",,
27000,3.1,Security,access control,nadzor dostopa,"Sredstva za zagotavljanje, da je dostop do sredstev avtoriziran in omejen glede na poslovne in varnostne zahteve.",,
27000,3.2,Security,asset,sredstvo,"Karkoli, kar ima vrednost za organizacijo.",,
27000,3.56,Security,risk,tveganje,Učinek negotovosti na cilje.,,27000:3.57
